Trainer,Alder,Benga,Bianca,Blaine,Blue,Brawly,Brock,Brycen,Bugsy,Burgh,Byron,Caitlin,Candice,Cheren,Cheren_Fire,Cheren_Grass,Cheren_Water,Chili,Chuck,Cilan,Clair,Clay,Colress,Cress,Cynthia,Drayden,Elesa,Erika,Falkner,Fantina,Flannery,Gardenia,Giovanni,Grimsley,Hugh_Fire,Hugh_Grass,Hugh_Water,Iris,Janine,Jasmine,Juan,Lance,Lenora,Liza,Lt.Surge,Marlon,Marshal,Maylene,Misty,Morimoto,Morty,N_Autumn,N_Spring,N_Summer,N_Winter,Nishino,Norman,Pryce,Red,Roark,Roxanne,Roxie,Sabrina,Shauntal,Skyla,Steven,Tate,Volkner,Wake,Wallace,Wattson,Whitney,Winona
Cheren_Water,29,25,46,66,49,10,75,43,86,59,37,88,33,42,45,49,0,64,21,76,40,18,57,18,10,49,14,55,85,11,53,56,52,32,38,46,25,22,12,2,28,37,47,73,8,30,7,3,3,75,9,21,17,81,31,4,18,30,24,81,76,6,9,2,40,66,94,33,16,11,19,27,50
Chili,11,22,24,44,4,8,3,94,77,77,51,76,63,88,12,31,36,0,1,69,0,0,17,4,2,3,2,59,25,20,30,26,0,55,6,20,15,2,1,10,3,0,93,74,13,0,0,44,7,74,6,3,4,79,66,2,74,45,16,6,24,4,22,0,4,17,66,56,13,1,14,73,3
Chuck,2,3,77,23,8,12,94,97,40,72,98,0,15,85,78,92,79,99,0,39,71,13,54,24,9,99,2,27,0,9,73,47,30,63,77,88,86,29,2,24,80,49,93,6,89,1,5,6,2,36,0,94,11,97,21,14,52,76,58,98,97,37,1,0,0,34,0,37,84,10,79,100,16
Cilan,3,5,43,4,11,50,73,26,18,5,43,44,15,4,19,18,24,31,61,0,38,36,61,48,22,13,0,20,9,55,20,10,45,0,33,22,30,45,4,20,94,4,3,55,13,47,48,28,40,43,3,28,86,23,23,17,9,46,26,100,98,12,24,0,5,84,30,38,94,68,4,10,28
Clair,45,19,40,60,21,58,50,6,90,74,90,28,0,11,83,71,60,100,29,62,0,51,58,81,18,83,35,64,46,55,99,73,16,38,62,56,42,47,30,30,72,14,33,58,14,22,33,16,12,66,13,11,21,100,0,39,42,7,13,84,91,84,16,5,27,84,83,93,10,26,11,37,43
Clay,51,72,66,89,30,84,73,80,99,91,100,94,77,79,94,91,82,100,87,64,49,0,77,82,33,52,75,57,32,91,99,27,42,80,73,81,65,50,7,74,35,10,88,71,41,35,86,87,31,85,29,80,66,97,49,31,89,78,31,99,96,81,52,18,8,79,94,80,34,18,87,92,48
Colress,1,16,6,75,23,28,11,63,2,16,25,12,3,5,20,41,43,83,46,39,42,23,0,20,19,2,2,49,2,11,14,10,22,0,8,11,10,22,11,16,82,0,23,33,4,37,24,68,5,70,2,15,28,66,52,7,7,33,10,50,44,12,20,3,4,26,22,21,64,14,15,1,47
Cress,29,80,58,85,70,61,100,100,13,25,99,77,42,42,63,89,82,96,76,52,19,18,80,0,42,81,30,23,72,47,97,15,93,65,64,75,48,52,6,34,87,15,43,94,50,12,79,97,0,93,15,41,43,73,54,7,68,90,52,99,38,31,70,0,11,82,100,96,32,38,32,87,65
Cynthia,29,6,90,66,54,90,88,66,94,77,91,97,32,62,84,91,90,98,91,78,82,67,81,58,0,70,61,90,19,53,59,79,87,41,67,81,88,84,10,53,87,39,84,92,67,43,88,76,21,93,30,79,72,94,38,10,24,62,90,85,94,75,66,1,39,94,95,68,88,77,46,79,88
Drayden,34,2,42,62,22,24,28,33,91,77,88,100,17,70,65,81,51,97,1,87,17,48,98,19,30,0,63,75,35,64,81,62,10,58,56,86,44,19,1,59,2,7,74,58,64,20,6,31,0,93,11,22,1,95,29,11,83,16,3,79,94,91,22,11,1,92,97,80,22,8,62,65,41
